DateTime,MapCode,TotalLoadValue
2026-01-26 20:00:00,IE,5230.056
2026-01-26 20:30:00,IE,5115.111
2026-01-26 21:00:00,IE,5007.858
2026-01-26 21:30:00,IE,4798.784
2026-01-26 22:00:00,IE,4585.198
2026-01-26 22:30:00,IE,4392.013
2026-01-26 23:00:00,IE,4202.614
2026-01-26 23:30:00,IE,4208.484
2026-01-27 00:00:00,IE,4063.7
2026-01-27 00:30:00,IE,3985.541
2026-01-27 01:00:00,IE,3896.105
2026-01-27 01:30:00,IE,3847.918
2026-01-27 02:00:00,IE,3811.581
2026-01-27 02:30:00,IE,3901.261
2026-01-27 03:00:00,IE,3830.114
2026-01-27 03:30:00,IE,3828.089
2026-01-27 04:00:00,IE,3754.513
2026-01-27 04:30:00,IE,3707.267
2026-01-27 05:00:00,IE,3714.559
2026-01-27 05:30:00,IE,3770.05
2026-01-27 06:00:00,IE,3885.835
2026-01-27 06:30:00,IE,4098.292
2026-01-27 07:00:00,IE,4369.084
2026-01-27 07:30:00,IE,4725.292
2026-01-27 08:00:00,IE,4917.043
2026-01-27 08:30:00,IE,4954.4
2026-01-27 09:00:00,IE,4997.239
2026-01-27 09:30:00,IE,5025.018
2026-01-27 10:00:00,IE,4965.444
2026-01-27 10:30:00,IE,4949.162
2026-01-27 11:00:00,IE,4950.652
2026-01-27 11:30:00,IE,4887.338
2026-01-27 12:00:00,IE,4889.685
2026-01-27 12:30:00,IE,4924.026
2026-01-27 13:00:00,IE,4967.039
2026-01-27 13:30:00,IE,4930.305
2026-01-27 14:00:00,IE,5001.742
2026-01-27 14:30:00,IE,5066.048
2026-01-27 15:00:00,IE,5078.764
2026-01-27 15:30:00,IE,5166.945
2026-01-27 16:00:00,IE,5228.528
2026-01-27 16:30:00,IE,5359.46
2026-01-27 17:00:00,IE,5466.282
2026-01-27 17:30:00,IE,5619.885
2026-01-27 18:00:00,IE,5655.812
2026-01-27 18:30:00,IE,5572.564
2026-01-27 19:00:00,IE,5482.211
2026-01-27 19:30:00,IE,5379.621
2026-01-27 20:00:00,IE,5209.537
2026-01-27 20:30:00,IE,5100.172
2026-01-27 21:00:00,IE,4980.842
2026-01-27 21:30:00,IE,4791.77
2026-01-27 22:00:00,IE,4586.728
2026-01-27 22:30:00,IE,4407.576
2026-01-27 23:00:00,IE,4182.767
2026-01-27 23:30:00,IE,4218.672
2026-01-28 00:00:00,IE,4110.265
2026-01-28 00:30:00,IE,4046.83
2026-01-28 01:00:00,IE,3938.196
2026-01-28 01:30:00,IE,3845.684
2026-01-28 02:00:00,IE,3809.474
2026-01-28 02:30:00,IE,3931.349
2026-01-28 03:00:00,IE,3871.923
2026-01-28 03:30:00,IE,3836.97
2026-01-28 04:00:00,IE,3752.475
2026-01-28 04:30:00,IE,3701.754
2026-01-28 05:00:00,IE,3701.959
2026-01-28 05:30:00,IE,3780.711
2026-01-28 06:00:00,IE,3906.647
2026-01-28 06:30:00,IE,4198.708
2026-01-28 07:00:00,IE,4446.06
2026-01-28 07:30:00,IE,4805.77
2026-01-28 08:00:00,IE,4961.059
